Core Number,CPU clock (GHz),L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),Benchmark,sim_ticks,BCE
16,1,16,2,2048,8,3,radix,9041993750,208
16,1,16,2,2048,16,3,radix,9044885000,208
16,1,16,2,1024,64,3,radix,9261567500,176
16,1,16,2,1024,32,2,radix,9319192500,176
16,1,16,2,1024,4,2,radix,9328191250,176
16,1,16,2,1024,2,2,radix,9349747500,176
16,1,16,2,1024,8,2,radix,9352735000,176
16,1,16,2,1024,16,2,radix,9393295000,176
16,1,8,4,2048,64,3,radix,9583743750,144
16,1,8,4,2048,16,3,radix,9608472500,144
16,1,8,4,2048,8,3,radix,9607535000,144
16,1,8,4,2048,4,3,radix,9609325000,144
16,1,8,4,2048,32,3,radix,9609417500,144
16,1,8,4,2048,2,3,radix,9622365000,144
16,1,8,2,2048,64,3,radix,9704556250,144
16,1,8,2,2048,32,3,radix,9727952500,144
16,1,8,2,2048,16,3,radix,9729865000,144
16,1,8,2,2048,8,3,radix,9730873750,144
16,1,8,2,2048,4,3,radix,9740462500,144
16,1,8,2,2048,2,3,radix,9749826250,144
16,1,8,4,1024,64,3,radix,9801027500,112
16,1,8,4,1024,32,2,radix,9846938750,112
16,1,8,4,1024,4,2,radix,9874127500,112
16,1,8,4,1024,2,2,radix,9886075000,112
16,1,8,4,1024,8,2,radix,9888451250,112
16,1,8,4,1024,16,2,radix,9916488750,112
16,1,8,2,1024,64,3,radix,9920480000,112
16,1,8,2,1024,32,2,radix,9963685000,112
16,1,8,2,1024,4,2,radix,9985711250,112
16,1,8,2,1024,8,2,radix,9996833750,112
16,1,8,2,1024,2,2,radix,9999763750,112
16,1,8,2,1024,16,2,radix,10027983750,112
16,1,16,2,2048,64,3,fmm,11280421250,208
16,1,16,2,2048,8,3,fmm,11282073750,208
16,1,16,2,2048,16,3,fmm,11285881250,208
16,1,16,2,2048,32,3,fmm,11290043750,208
16,1,16,2,2048,4,3,fmm,11330622500,208
16,1,16,2,2048,2,3,fmm,11380996250,208
16,1,16,2,1024,32,2,fmm,11515993750,176
16,1,16,2,1024,16,2,fmm,11523685000,176
16,1,16,2,1024,64,3,fmm,11537927500,176
16,1,16,2,1024,8,2,fmm,11539387500,176
16,1,16,2,1024,4,2,fmm,11561796250,176
16,1,16,2,1024,2,2,fmm,11651318750,176
16,1,8,4,2048,32,3,fmm,12107296250,144
16,1,8,4,2048,64,3,fmm,12107068750,144
16,1,8,4,2048,16,3,fmm,12113377500,144
16,1,8,4,2048,8,3,fmm,12113410000,144
16,1,8,4,2048,4,3,fmm,12151496250,144
16,1,8,4,2048,2,3,fmm,12172628750,144
16,1,8,4,1024,32,2,fmm,12283847500,112
16,1,8,4,1024,16,2,fmm,12290150000,112
16,1,8,4,1024,8,2,fmm,12298812500,112
16,1,8,4,1024,4,2,fmm,12305968750,112
16,1,8,4,1024,64,3,fmm,12312841250,112
16,1,8,4,1024,2,2,fmm,12349261250,112
16,1,16,4,2048,16,2,fmm,12520146346,208
16,1,16,4,2048,32,2,fmm,12520865133,208
16,1,16,4,2048,8,2,fmm,12523307294,208
16,1,16,4,2048,4,2,fmm,12549882407,208
16,1,16,4,2048,64,3,fmm,12559255218,208
16,1,16,4,2048,2,2,fmm,12599277221,208
16,1,8,2,2048,64,3,fmm,12644620000,144
16,1,8,2,2048,16,3,fmm,12648022500,144
16,1,8,2,2048,8,3,fmm,12649351250,144
16,1,8,2,2048,32,3,fmm,12651908750,144
16,1,8,2,2048,4,3,fmm,12679991250,144
16,1,8,2,2048,2,3,fmm,12684762500,144
16,1,16,4,1024,32,2,fmm,12761707364,176
16,1,16,4,1024,64,2,fmm,12763850864,176
16,1,8,2,1024,16,2,fmm,12792036250,112
16,1,16,4,1024,16,2,fmm,12794364301,176
16,1,8,2,1024,8,2,fmm,12795882500,112
16,1,16,4,1024,8,2,fmm,12799038560,176
16,1,8,2,1024,32,2,fmm,12800286250,112
16,1,8,2,1024,2,2,fmm,12801616250,112
16,1,8,2,1024,4,2,fmm,12803098750,112
16,1,8,2,1024,64,3,fmm,12821028750,112
16,1,16,4,1024,4,2,fmm,12822851416,176
16,1,16,4,1024,2,2,fmm,12926976930,176
16,1,8,8,2048,32,2,fmm,13551585685,144
16,1,8,8,2048,16,2,fmm,13573918097,144
16,1,8,8,2048,8,2,fmm,13590424476,144
16,1,8,8,2048,4,2,fmm,13602449511,144
16,1,8,8,2048,64,3,fmm,13611629407,144
16,1,8,8,2048,2,2,fmm,13619191675,144
16,1,8,16,2048,16,2,fmm,13705170318,144
16,1,8,16,2048,32,2,fmm,13707886847,144
16,1,8,16,2048,8,2,fmm,13711579383,144
16,1,8,16,2048,4,2,fmm,13739654946,144
16,1,8,16,2048,64,3,fmm,13750509630,144
16,1,8,16,2048,2,2,fmm,13767989158,144
16,1,8,8,1024,64,2,fmm,13779243962,112
16,1,8,8,1024,16,2,fmm,13796909260,112
16,1,8,8,1024,32,2,fmm,13796552010,112
16,1,8,8,1024,8,2,fmm,13810701968,112
16,1,8,8,1024,4,2,fmm,13817978436,112
16,1,8,8,1024,2,2,fmm,13875539985,112
