Core Number,CPU clock (GHz),L1 Cache Size (KB),L1 Associativity,L2 Cache Size (KB),L2 Associativity,L2 latency (cycles),Total BCE Cost
4,0.7,32,4,2048,8,2,84
4,0.7,32,4,2048,16,2,84
4,0.7,32,4,2048,32,2,84
4,0.7,32,4,2048,64,3,84
4,0.6,32,8,1024,2,2,52
4,0.6,32,8,1024,4,2,52
4,0.6,32,8,1024,8,2,52
4,0.6,32,8,1024,16,2,52
4,0.6,32,8,1024,32,2,52
4,0.6,32,8,1024,64,2,52
4,0.6,32,8,2048,2,2,84
4,0.6,32,8,2048,4,2,84
4,0.6,32,8,2048,8,2,84
4,0.6,32,8,2048,16,2,84
4,0.6,32,8,2048,32,2,84
4,0.6,32,8,2048,64,2,84
4,0.6,32,16,1024,2,2,52
4,0.6,32,16,1024,4,2,52
4,0.6,32,16,1024,8,2,52
4,0.6,32,16,1024,16,2,52
4,0.6,32,16,1024,32,2,52
4,0.6,32,16,1024,64,2,52
4,0.6,32,16,2048,2,2,84
4,0.6,32,16,2048,4,2,84
4,0.6,32,16,2048,8,2,84
4,0.6,32,16,2048,16,2,84
4,0.6,32,16,2048,32,2,84
4,0.6,32,16,2048,64,2,84
4,0.6,32,32,1024,2,2,52
4,0.6,32,32,1024,4,2,52
4,0.6,32,32,1024,8,2,52
4,0.6,32,32,1024,16,2,52
4,0.6,32,32,1024,32,2,52
4,0.6,32,32,1024,64,2,52
4,0.6,32,32,2048,2,2,84
4,0.6,32,32,2048,4,2,84
4,0.6,32,32,2048,8,2,84
4,0.6,32,32,2048,16,2,84
4,0.6,32,32,2048,32,2,84
4,0.6,32,32,2048,64,2,84
4,0.5,32,64,1024,2,2,52
4,0.5,32,64,1024,4,2,52
4,0.5,32,64,1024,8,2,52
4,0.5,32,64,1024,16,2,52
4,0.5,32,64,1024,32,2,52
4,0.5,32,64,1024,64,2,52
4,0.5,32,64,2048,2,2,84
4,0.5,32,64,2048,4,2,84
4,0.5,32,64,2048,8,2,84
4,0.5,32,64,2048,16,2,84
4,0.5,32,64,2048,32,2,84
4,0.5,32,64,2048,64,2,84
4,0.6,64,2,1024,2,2,68
4,0.6,64,2,1024,4,2,68
4,0.6,64,2,1024,8,2,68
4,0.6,64,2,1024,16,2,68
4,0.6,64,2,1024,32,2,68
4,0.6,64,2,1024,64,2,68
4,0.6,64,2,2048,2,2,100
4,0.6,64,2,2048,4,2,100
4,0.6,64,2,2048,8,2,100
4,0.6,64,2,2048,16,2,100
4,0.6,64,2,2048,32,2,100
4,0.6,64,2,2048,64,2,100
4,0.6,64,4,1024,2,2,68
4,0.6,64,4,1024,4,2,68
4,0.6,64,4,1024,8,2,68
4,0.6,64,4,1024,16,2,68
4,0.6,64,4,1024,32,2,68
4,0.6,64,4,1024,64,2,68
4,0.6,64,4,2048,2,2,100
4,0.6,64,4,2048,4,2,100
4,0.6,64,4,2048,8,2,100
4,0.6,64,4,2048,16,2,100
4,0.6,64,4,2048,32,2,100
4,0.6,64,4,2048,64,2,100
4,0.5,64,8,1024,2,2,68
4,0.5,64,8,1024,4,2,68
4,0.5,64,8,1024,8,2,68
4,0.5,64,8,1024,16,2,68
4,0.5,64,8,1024,32,2,68
4,0.5,64,8,1024,64,2,68
4,0.5,64,8,2048,2,2,100
4,0.5,64,8,2048,4,2,100
4,0.5,64,8,2048,8,2,100
4,0.5,64,8,2048,16,2,100
4,0.5,64,8,2048,32,2,100
4,0.5,64,8,2048,64,2,100
4,0.6,64,16,1024,2,2,68
4,0.6,64,16,1024,4,2,68
4,0.6,64,16,1024,8,2,68
4,0.6,64,16,1024,16,2,68
4,0.6,64,16,1024,32,2,68
4,0.6,64,16,1024,64,2,68
4,0.6,64,16,2048,2,2,100
4,0.6,64,16,2048,4,2,100
4,0.6,64,16,2048,8,2,100
4,0.6,64,16,2048,16,2,100
4,0.6,64,16,2048,32,2,100
4,0.6,64,16,2048,64,2,100
4,0.5,64,32,1024,2,2,68
4,0.5,64,32,1024,4,2,68
4,0.5,64,32,1024,8,2,68
4,0.5,64,32,1024,16,2,68
4,0.5,64,32,1024,32,2,68
4,0.5,64,32,1024,64,2,68
4,0.5,64,32,2048,2,2,100
4,0.5,64,32,2048,4,2,100
4,0.5,64,32,2048,8,2,100
4,0.5,64,32,2048,16,2,100
4,0.5,64,32,2048,32,2,100
